"","hour","absorb","Tcfinal","posture","Tc_init","Time.to.35","tau","rate","Qsol","Zen","vel","Tair","Tsurf","PctCanopy","PctCloud","PctShade","RelHum"
"1",8,0.77,16.4678097114276,"n",10,NA,571.261361120865,0.679318800634845,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"2",9,0.77,20.067538404673,"n",10,NA,514.403166768977,1.17427796581132,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"3",10,0.77,22.7530664498424,"n",10,NA,492.938920634726,1.55228965488314,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"4",11,0.77,25.0327062894817,"n",10,NA,478.508099123856,1.88494694033474,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"5",12,0.77,26.9635570568876,"n",10,NA,473.937735710163,2.14756780632403,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"6",13,0.77,28.0325031544406,"n",10,NA,463.434296335323,2.33463556284488,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"7",14,0.77,28.761186075957,"n",10,NA,466.503384693141,2.41299677878623,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"8",15,0.77,29.3966714460522,"n",10,NA,464.109726883479,2.50759727570916,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"9",16,0.77,29.5806106045552,"n",10,NA,485.036266032102,2.42216246196229,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"10",8,0.92,16.9538873189563,"n",10,NA,571.261361120865,0.730371888479782,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"11",9,0.92,20.6721339447692,"n",10,NA,514.403166768977,1.24479800680102,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"12",10,0.92,23.464900613541,"n",10,NA,492.938920634726,1.63893335055018,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"13",11,0.92,25.8306780985777,"n",10,NA,478.508099123856,1.98500440777034,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"14",12,0.92,27.8521149127815,"n",10,NA,473.937735710163,2.26005826094831,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"15",13,0.92,28.9346393723662,"n",10,NA,463.434296335323,2.45143350702718,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"16",14,0.92,29.6687462557016,"n",10,NA,466.503384693141,2.5297239292666,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"17",15,0.92,30.3379590963246,"n",10,NA,464.109726883479,2.629286729183,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"18",16,0.92,30.5815291413493,"n",10,NA,485.036266032102,2.54597817722608,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"19",8,0.77,16.2130886056681,"n",40,126.750528090186,537.135265290343,-2.65708616783604,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"20",9,0.77,19.8155522914586,"n",40,140.323508204433,492.984753151418,-2.4566010505816,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"21",10,0.77,22.500155017606,"n",40,160.490458808775,476.974773184789,-2.20135478430607,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"22",11,0.77,24.784431447227,"n",40,185.783011192293,466.315485996696,-1.95776065899911,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"23",12,0.77,26.7166016897948,"n",40,219.215679359811,464.18263294577,-1.71700499338893,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"24",13,0.77,27.7952611430959,"n",40,240.096850578361,455.517996888491,-1.60758594921883,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"25",14,0.77,28.5228064967201,"n",40,262.907178057731,459.568015120666,-1.49843241378752,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"26",15,0.77,29.1637383291626,"n",40,283.330261683947,457.86486672447,-1.42001657585469,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"27",16,0.77,29.3386526445559,"n",40,302.577081637534,478.032891931658,-1.33815235755388,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"28",8,0.92,16.6701288370595,"n",40,129.558385245308,537.135265290343,-2.6060330799911,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"29",9,0.92,20.3949740414508,"n",40,145.144692597397,492.984753151418,-2.38608100959191,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"30",10,0.92,23.188935969084,"n",40,168.372343439869,476.974773184789,-2.11471108863903,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"31",11,0.92,25.5620705564742,"n",40,198.241025830238,466.315485996696,-1.8577031915635,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"32",12,0.92,27.5868702799409,"n",40,239.287097140736,464.18263294577,-1.60451453876466,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"33",13,0.92,28.6819872360061,"n",40,265.562794060972,455.517996888491,-1.49078800503653,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"34",14,0.92,29.416874244336,"n",40,293.899275200469,459.568015120666,-1.38170526330715,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"35",15,0.92,30.0923604191055,"n",40,321.656041841918,457.86486672447,-1.29832712238085,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"36",16,0.92,30.3251190517915,"n",40,347.687298527023,478.032891931658,-1.21433664229009,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"37",8,0.77,14.9220099202503,"p",10,NA,571.261361120865,0.516962314124615,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"38",9,0.77,18.2416042705861,"p",10,NA,514.403166768977,0.961300956487397,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"39",10,0.77,20.6835407027955,"p",10,NA,492.938920634726,1.30038918684355,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"40",11,0.77,22.7667272155965,"p",10,NA,478.508099123856,1.60081644247681,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"41",12,0.77,24.460187483169,"p",10,NA,473.937735710163,1.83064395091918,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"42",13,0.77,25.4700388843972,"p",10,NA,463.434296335323,2.00287794926645,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"43",14,0.77,26.1218807371544,"p",10,NA,466.503384693141,2.07353874798904,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"44",15,0.77,26.5530080927954,"p",10,NA,464.109726883479,2.13996912376085,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"45",16,0.77,26.3963928482439,"p",10,NA,485.036266032102,2.02826806940148,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"46",8,0.92,15.1069576983289,"p",10,NA,571.261361120865,0.536387514987039,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"47",9,0.92,18.4904983559901,"p",10,NA,514.403166768977,0.990331969686714,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"48",10,0.92,20.9922205001862,"p",10,NA,492.938920634726,1.33796136276262,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"49",11,0.92,23.1232745297798,"p",10,NA,478.508099123856,1.64552381292711,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"50",12,0.92,24.8610759415853,"p",10,NA,473.937735710163,1.8813959921529,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"51",13,0.92,25.8729937510156,"p",10,NA,463.434296335323,2.0550477869075,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"52",14,0.92,26.5152905262232,"p",10,NA,466.503384693141,2.12413771065178,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"53",15,0.92,26.9403353495762,"p",10,NA,464.109726883479,2.19004270347852,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"54",16,0.92,26.7770092247176,"p",10,NA,485.036266032102,2.0753511107898,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"55",8,0.77,14.7596320314468,"p",40,118.580984736754,537.135265290343,-2.81944265434627,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"56",9,0.77,18.0656453186505,"p",40,127.539954685562,492.984753151418,-2.66957805990553,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"57",10,0.77,20.4976522074673,"p",40,141.291520638392,476.974773184789,-2.45325525234566,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"58",11,0.77,22.5761905939753,"p",40,157.718567876248,466.315485996696,-2.24189115685704,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"59",12,0.77,24.264759195709,"p",40,177.489964246628,464.18263294577,-2.03392884879379,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"60",13,0.77,25.2765684166,"p",40,188.995150419217,455.517996888491,-1.93934356279726,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"61",14,0.77,25.9227389395495,"p",40,201.653069498284,459.568015120666,-1.8378904445847,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"62",15,0.77,26.3583380825629,"p",40,209.030682445922,457.86486672447,-1.787644727803,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"63",16,0.77,26.2004113846974,"p",40,215.083159943402,478.032891931658,-1.73204675011469,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
"64",8,0.92,14.9335313717561,"p",40,119.502308890261,537.135265290343,-2.80001745348385,191.7380952,58.99288177,2.445833333,15.0375,15.0375,0,0,0,45.4702381
"65",9,0.92,18.3041760999139,"p",40,129.142864077278,492.984753151418,-2.64054704670621,333.2083333,46.96428125,2.980357143,17.98988095,17.98988095,0,0,0,33.75
"66",10,0.92,20.7963352089183,"p",40,143.8561258838,476.974773184789,-2.41568307642659,468.5714286,35.76665884,3.223214286,20.13452381,20.13452381,0,0,0,26.98214286
"67",11,0.92,22.923652913628,"p",40,161.552921009892,466.315485996696,-2.19718378640674,582.1024096,26.66328366,3.404216867,21.98253012,21.98253012,0,0,0,22.4939759
"68",12,0.92,24.657396131163,"p",40,183.055927923298,464.18263294577,-1.98317680756007,669.6484848,22.82638995,3.456969697,23.47333333,23.47333333,0,0,0,19.36969697
"69",13,0.92,25.6726400822708,"p",40,195.516971105718,455.517996888491,-1.88717372515622,678.9503106,26.78498641,3.610559006,24.47888199,24.47888199,0,0,0,17.2484472
"70",14,0.92,26.3103000201841,"p",40,208.876103114674,459.568015120666,-1.78729148192197,630.6851852,35.86178168,3.556790123,25.23518519,25.23518519,0,0,0,14.90123457
"71",15,0.92,26.7404536309604,"p",40,216.729467774989,457.86486672447,-1.73757114808533,574.2893082,47.04560653,3.589937107,25.67861635,25.67861635,0,0,0,15.0754717
"72",16,0.92,26.5755320919607,"p",40,222.734018138906,478.032891931658,-1.68496370872637,464.1509434,59.06883524,3.27672956,25.56477987,25.56477987,0,0,0,16.63522013
